,full_name,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
7847,Rushby T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7848,Rush J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7849,Rose P,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7850,Rastogi K,0,11,0.66,0.56,0.44,45,0.53,44,0.52,0.52,0.3,0.34,10,0.6,40,0.15,0.31,0.43
7851,Rosol L,1702,871,0.58,0.72,0.5,1852,0.63,3202,0.79,0.63,0.26,0.46,1457,0.36,3201,0.17,0.34,0.49
7852,Rodriguez B,1,2,0.55,0.67,0.34,10,0.6,9,0.56,0.52,0.17,0.52,1,1.0,9,0.11,0.33,0.44
7853,Rolle L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7854,Romani H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7855,Reid K,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7856,Reyes-Varela MA,2,3,0.58,0.63,0.42,17,0.59,18,0.61,0.54,0.23,0.4,3,0.33,18,0.06,0.3,0.43
7857,Rojas F,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7858,Riba P,413,259,0.55,0.67,0.47,683,0.55,972,0.68,0.58,0.27,0.48,441,0.4,966,0.18,0.35,0.47
7859,Roemer L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7860,Romero-Torres A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7861,Rieschick S,17,13,0.61,0.67,0.44,24,0.38,43,0.65,0.58,0.25,0.49,12,0.5,44,0.14,0.34,0.46
7862,Roy R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7863,Roudami M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
